Anthony, The Temptations of St - London;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1530-1540;Oil on panel;22 x 34
215;Anthony, The Temptations of St - London;David Teniers The Younger (1610-1690);17th-century;Oil on panel;44,5 x 56
216;Anthony, The Temptations of St - London;Franciscus Carré (1630 - 1669);1663;Oil on panel;16,2 x 15,7
217;Anthony, The Temptations of St - London;David Teniers The Younger (1610-1690);;Oil on panel;61,3 x 122,2
218;Anthony, The Temptations of St - London;Heemskerck II, Egbert van (1666/1686 - 1744));1691-1744 (working period);Oil on canvas;40,6 x 54
219;Anthony, The Temptations of St - London;Teniers, David The Younger (1610 - 1690);1625 - 1690;Oil on panel;22,2 x 16,7
220;Anthony, The Temptations of St - London;Caullery Louis de (c. 1580 - 1628) - or circle;;Oil on copper;25,4 x 32,4
221;Anthony, The Temptations of St - London;David Teniers The Younger (1610-1690);;Oil on panel;59 x 89
222;Anthony, The Temptations of St - London;Jan Bruegel the Elder (1568 - 1628);;Oil on copper;21 x 28,8
223;Anthony, The Temptations of St - London;Huys, Pieter (1519 - 1581);1534 - 1577;Paper, pen in brown, wash in brown and gray;15 x 19,5
224;Anthony, The Temptations of St - London;Kerstiaen de Keuninck (1560 - 1632);1600-1630;Oil on panel;29,8 x 21,9
225;Anthony, The Temptations of St - London;Rijckaert Marten (1587 - 1631);;Oil on copper;16,5 x 13,7
226;Anthony, The Temptations of St - London;Teniers, David I (1583 - 1649);;;
227;Anthony, The Temptations of St - London;Teniers, David II (1610 - 1690);;Oil on canvas;
228;Anthony, The Temptations of St - London;Teniers, David II (1610 - 1690);;Oil on panel;25,6 x 33
229;Anthony, The Temptations of St - London;Bruegel, Pieter II (the Younger) (1564 - 1638);;Oil on panel;73,5 x 116,5
230;Anthony, The Temptations of St - London;David Teniers (1610 - 1690) - Follower of;;Oil on canvas;74 x 121,7
231;Anthony, The Temptations of St - London;Wierix, Hieronymus (1553 - 1619);1619;Engraving;9,0 x 6,2
232;Anthony, The Temptations of St - London;Heyden, Pieter van - after Pieter Bruegel;1556;Engraving;
233;Anthony, The Temptations of St - London - 2018 Christies;Anonymous;;Oil on panel;90,7 x 118,4
234;Anthony, The Temptations of St - London - Art dealer Frank;Anonymous;1525-1574;Oil;
235;Anthony, The Temptations of St - London - Art Dealer Smith;Anonymous;1500-1525;Oil on panel;50,8 x 43
236;Anthony, The Temptations of St - London - Bonhams;Bailleur, Cornelis de (1607 - 1671);;Oil on copper;37 x 44
237;Anthony, The Temptations of St - London - Christies;Anonymous;1530-1540 Antwerp;Oil on wood;92 x 119 (Sels) - 90,7 x 118,4 (Christies)
238;Anthony, The Temptations of St - London - Christies;Huys, Pieter (around 1519 - before april 1586);;Oil on copper;16,5 x 21,9
239;Anthony, The Temptations of St - London - Christies;Anonymous;;Oil on wood;20 x 29,2
240;Anthony, The Temptations of St - London - Christies;Francken, Frans (1581 - 1642);;Oil on copper;50,8 x 64,7
241;Anthony, The Temptations of St - London - Christies;David Teniers The Younger (1610-1690);;Oil on Canvas;57,4 x 46,7
242;Anthony, The Temptations of St - London - Christies 2006;Patinir, Joachim (ca. 1480 - 1524) - Circle;;Oil on panel;22,2 x 29,5
243;Anthony, The Temptations of St - London - Christies 2018;Follower Jan Bruegel the Younger;;Oil on copper;27 x 34
244;Anthony, The Temptations of St - London - Christies 2020;Teniers, David II (1610 - 1690);;Oil on canvas;46 x 58
245;Anthony, The Temptations of St - London - Christies 2021;Anonymous;;Oil on panel;49,8 x 62
246;Anthony, The Temptations of St - London - Christies 2022;Mandijn Jan (c. 1500 - 1560) or Pieter Huys (1519 - 1581);;Oil on panel, laid down on board;54,1 x 69,7
247;Anthony, The Temptations of St - London - Macdougall Fine Art Auctions;Swanenburgh Jacob Isaakzn van, (1571 - 1638);;Oil on canvas;36,5 x 55
248;Anthony, The Temptations of St - London - Matthiesen Gallery;Jan Gossaert or possibly Lancelot Blondeel;1500-1549;Oil on panel;27 x 35
249;Anthony, The Temptations of St - London - Philips Auctioneers;Heemskerck, Egbert van II (1666/1686 - 1746);1691-1744;Oil on canvas;92x 97,2
250;Anthony, The Temptations of St - London - Sotheby's;Saftleven, Herman (1609 - 1685);1629;Oil on panel;33,5 x 27,2
251;Anthony, The Temptations of St - London - Sotheby's;Anonymous;;Pen and grey-brown ink;12 x 15,2
252;Anthony, The Temptations of St - London - Sotheby's;Bruegel, Jan the Elder (1568 - 1625);;Oil on canvas;142,5 x 226
253;Anthony, The Temptations of St - London - Sotheby's;Teniers, David The Younger (1610 - 1690);;Oil on oak panel;22,1 x 16
